userid,start_date_s,end_date_s,status_s,progress_s,duration_s_s,finished_s,recorded_date_s,response_id_s,distribution_channel,user_language,id_1_s,id_2_s,id_3_s,id_4_s,id_5_s,participinfo,consent,q12_first_click,q12_last_click,q12_page_submit,q12_click_count,entexp,entxn,entxb,xposent,xposen,xposeb,prog,programme,q18,q19_first_click,q19_last_click,q19_page_submit,q19_click_count,cse1,cse2,cse3,creativese,q24_first_click,q24_last_click,q24_page_submit,q24_click_count,pinno1,pinno2,pinno3,persinno,q29_first_click,q29_last_click,q29_page_submit,q29_click_count,pl1,cl1,cl2,pl2,cl3,ml1,ml2,pl3,ml3,pl,cl,ml,frequse,frequentuser,useplan,useprof,useacad,usecontext,q44_first_click,q44_last_click,q44_page_submit,q44_click_count,se1,se2,se3,selfefficacy,q49_first_click,q49_last_click,q49_page_submit,q49_click_count,gender,q50_3_text,ageoriginal,hscountry,country_n,country_group,uk,q53_first_click,q53_last_click,q53_page_submit,q53_click_count,q63_first_click,q63_last_click,q63_page_submit,q63_click_count,random_id,id
gc09ma,2024-01-31T11:26:35Z,2024-01-31T11:40:17Z,IP Address,100,821,TRUE,2024-01-31T11:40:18Z,R_7YS3ZpZ3fNOfCjJ,anonymous,EN,g,c,09,m,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,7.371,7.371,13.266,1,6,6,5,5.666666666666667,4.066,5.827,6.958,3,7,6,7,6.666666666666667,2.79,2.79,4.016,1,5,6,6,6,6,6,5,5,4,5.333333333333333,6,5,Several times each week.,frequent generative AI user,3,2,1,2,4.575,4.575,9.536,1,6,6,5,5.666666666666667,5.432,5.432,11.433,1,Female,NA,22,China,95,China,0,NA,NA,NA,NA,2.48,2.48,64.588,1,46577,NA
gl21mm,2024-01-31T11:29:24Z,2024-01-31T11:38:11Z,IP Address,100,526,TRUE,2024-01-31T11:38:11Z,R_7UfjZvh3HKNTfe9,anonymous,EN,g,l,21,m,m,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,8.198,0,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,6.838,6.838,9.062,1,6,6,5,5.666666666666667,5.61,5.61,6.505,1,6,3,7,5.333333333333333,3.85,3.85,4.591,1,7,3,3,6,7,7,3,6,2,6.333333333333333,4.333333333333333,4,Several times each week.,frequent generative AI user,2,2,2,2,15.645,15.645,16.612,1,5,5,6,5.333333333333333,3.348,3.348,4.091,1,Female,NA,21,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,8.74,8.74,33.018,1,60423,NA
gv15af,2024-01-31T11:29:59Z,2024-01-31T11:35:22Z,IP Address,100,322,TRUE,2024-01-31T11:35:23Z,R_4X0AainebGTDJIr,anonymous,EN,g,v,15,a,f,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,3.29,0,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,Law and Business / Psychology and Business / Economics and Management.,Another programme with a business component,0,3.745,3.745,5.113,1,5,5,5,5,2.956,2.956,3.949,1,5,3,4,4,2.698,2.698,3.539,1,6,7,3,7,5,3,4,5,4,6,5,3.6666666666666665,Once or more each day.,frequent generative AI user,2,1,1,1.3333333333333333,1.924,1.924,3.628,1,4,5,4,4.333333333333333,3.148,3.148,4.199,1,Female,NA,21,Italy,1,Europe & Central Asia,0,NA,NA,NA,NA,3.674,3.674,30.694,1,88768,NA
hb15lm,2024-01-31T11:31:38Z,2024-01-31T11:43:47Z,IP Address,100,729,TRUE,2024-01-31T11:43:49Z,R_4OzLsuKY2c21h0B,anonymous,EN,h,b,15,l,m,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,4.736,0,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,3 or more,23.847,23.847,24.852,1,5,6,5,5.333333333333333,9.419,10.309,11.128,2,4,2,5,3.6666666666666665,12.099,13.554,13.98,2,6,5,3,6,6,7,6,5,4,5.666666666666667,4.666666666666667,5.666666666666667,Several times each week.,frequent generative AI user,3,2,1,2,9.715,9.715,11.239,1,4,7,5,5.333333333333333,8.667,8.667,11.346,1,Female,NA,20,China,95,China,0,NA,NA,NA,NA,20.791,20.791,95.282,1,92258,NA
hb30fa,2024-01-31T11:27:51Z,2024-01-31T11:39:54Z,IP Address,100,722,TRUE,2024-01-31T11:39:55Z,R_6guXQcIWT3aY8zq,anonymous,EN,h,b,30,f,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,None of the above.,0,0,A programme at the Business School.,Business programme at the business school,1,11.681,11.681,13.4,1,5,4,5,4.666666666666667,3.866,3.866,4.703,1,6,5,6,5.666666666666667,3.402,3.402,4.76,1,3,6,6,6,6,5,5,5,4,4.666666666666667,6,4.666666666666667,Twice or three times a month.,0,2,3,2,2.3333333333333335,5.023,5.023,10.046,1,5,5,6,5.333333333333333,5.349,5.349,6.288,1,Female,NA,20,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,12.187,12.187,42.827,1,46825,NA
hc20gj,2024-01-31T11:26:57Z,2024-01-31T11:46:25Z,IP Address,100,1167,TRUE,2024-01-31T11:46:25Z,R_8KtKTMTSuJo2DYd,anonymous,EN,h,c,20,g,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,2.29,0,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,3 or more,13.875,13.875,14.916,1,6,6,6,6,12.43,13.341,15.805,2,4,4,4,4,10.169,10.169,11.176,1,5,6,7,6,4,4,5,5,4,5.333333333333333,5.666666666666667,4.333333333333333,About once each week.,0,3,2,1,2,3.618,3.618,5.868,1,7,6,6,6.333333333333333,0.831,0.831,2.535,1,Female,NA,23,China,95,China,0,NA,NA,NA,NA,3.461,9.028,65.73,2,17342,NA
hj04jd,2024-03-08T14:30:25Z,2024-03-08T14:42:18Z,IP Address,100,712,TRUE,2024-03-08T14:42:18Z,R_2nJAVuuKLnNNZ5l,anonymous,EN,h,j,04,j,d,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,3 or more,11.533,41.449,45.736,3,5,6,3,4.666666666666667,5.891,7.01,7.821,2,6,6,6,6,2.353,3.168,3.501,2,6,5,3,6,6,6,6,7,6,6.333333333333333,4.666666666666667,6,Several times each week.,frequent generative AI user,2,1,2,1.6666666666666667,5.843,13.791,18.671,3,6,7,6,6.333333333333333,2.764,4.93,5.852,3,Female,NA,24,China,95,China,0,NA,NA,NA,NA,1.241,6.369,97.878,5,40333,NA
hj31lo,2024-01-31T11:41:37Z,2024-01-31T11:46:20Z,IP Address,100,283,TRUE,2024-01-31T11:46:21Z,R_6njwXSE4D9SBNcD,anonymous,EN,h,j,31,l,o,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,3.029,0,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,3 or more,4.287,4.287,5.044,1,5,6,6,5.666666666666667,3.347,3.766,4.563,2,4,4,5,4.333333333333333,2.501,2.501,3.297,1,4,4,5,5,2,4,6,4,5,4.333333333333333,3.6666666666666665,5,Less than once a month.,0,3,3,2,2.6666666666666665,1.099,1.099,1.821,1,4,4,4,4,0.431,0.431,1.144,1,Prefer not to say,NA,44,Brazil,2,Latin America & Caribbean,0,NA,NA,NA,NA,0,0,4.325,0,72975,NA
hk24js,2024-01-31T11:28:39Z,2024-01-31T11:35:11Z,IP Address,100,391,TRUE,2024-01-31T11:35:11Z,R_8E4DbZqyw1gN5T6,anonymous,EN,h,k,24,j,s,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,4.108,4.108,5.931,1,5,5,6,5.333333333333333,3.486,3.486,4.81,1,2,2,2,2,5.37,5.37,7.157,1,6,7,7,7,5,5,5,5,3,6,6.333333333333333,4.333333333333333,About once each week.,0,3,1,1,1.6666666666666667,3.16,3.16,4.147,1,5,5,4,4.666666666666667,4.501,4.501,5.743,1,Male,NA,21,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,4.189,4.189,25.878,1,22188,NA
hl18vs,2024-01-31T11:29:16Z,2024-01-31T11:37:16Z,IP Address,100,480,TRUE,2024-01-31T11:37:17Z,R_24DlzyrqFZ83rFv,anonymous,EN,h,l,18,v,s,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,11.325,11.325,12.135,1,6,6,6,6,12.501,12.501,13.144,1,3,1,1,1.6666666666666667,2.403,2.403,3.262,1,3,1,1,5,7,3,5,5,6,4.333333333333333,3,4.666666666666667,About once a month.,0,3,3,3,3,4.234,4.234,5.061,1,7,7,7,7,2.769,2.769,3.512,1,Male,NA,21,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,4.576,84.59,93.385,2,45889,NA
ho24hj,2024-01-31T11:54:28Z,2024-01-31T11:58:22Z,IP Address,100,233,TRUE,2024-01-31T11:58:23Z,R_1Unm6f8cnvKYgXn,anonymous,EN,h,o,24,h,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,7.222,7.222,7.676,1,5,6,6,5.666666666666667,2.594,2.594,2.911,1,6,7,6,6.333333333333333,0.419,0.419,0.84,1,5,6,7,7,5,4,3,6,3,6,6,3.3333333333333335,Several times each week.,frequent generative AI user,2,2,1,1.6666666666666667,1.309,2.902,3.256,2,6,6,7,6.333333333333333,0.414,0.414,0.983,1,Female,NA,22,Norway,3,Europe & Central Asia,0,NA,NA,NA,NA,6.349,36.492,39.957,2,63928,NA
ht18ps,2024-02-01T16:05:14Z,2024-02-01T16:16:00Z,IP Address,100,646,TRUE,2024-02-01T16:16:01Z,R_4aaUIqtbNlL4dE8,anonymous,EN,h,t,18,p,s,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a business owner.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,5.071,14.282,14.3,8,4,5,6,5,3.481,4.21,5.065,2,5,3,4,4,3.967,4.329,5.268,2,5,5,5,6,3,6,7,6,5,5.666666666666667,4.333333333333333,6,Twice or three times a month.,0,2,1,2,1.6666666666666667,4.903,4.903,5.565,1,5,5,6,5.333333333333333,2.639,7.7,8.081,5,Female,NA,22,China,95,China,0,NA,NA,NA,NA,2.021,54.132,56.593,6,78314,NA
hz22ha,2024-01-31T11:27:54Z,2024-01-31T11:46:11Z,IP Address,100,1096,TRUE,2024-01-31T11:46:11Z,R_6EE1qNfPA8j6qXu,anonymous,EN,h,z,22,h,a,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,6.319,0,None of the above.,0,0,None of the above.,0,0,A programme at the Business School.,Business programme at the business school,0,6.697,20.699,23.039,3,5,5,5,5,30.108,30.108,46.015,1,6,6,6,6,4.044,4.044,5.182,1,5,5,5,6,5,5,6,6,5,5.666666666666667,5,5.333333333333333,Several times each week.,frequent generative AI user,3,2,2,2.3333333333333335,3.106,3.106,5.039,1,7,7,7,7,4.022,4.022,5.077,1,Female,NA,20,China,95,China,0,NA,NA,NA,NA,9.446,9.446,82.035,1,77015,NA
ie11af,2024-02-01T15:21:28Z,2024-02-01T15:31:38Z,IP Address,100,609,TRUE,2024-02-01T15:31:38Z,R_2kVXf9YHNAeJG0x,anonymous,EN,i,e,11,a,f,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,2.768,2.768,4.76,1,3,2,3,2.6666666666666665,5.713,5.713,7.321,1,3,2,3,2.6666666666666665,4.609,4.609,5.658,1,4,4,4,5,3,5,5,6,3,5,3.6666666666666665,4.333333333333333,Twice or three times a month.,0,2,2,2,2,4.006,4.006,5.25,1,3,4,4,3.6666666666666665,3.555,3.555,4.427,1,Female,NA,21,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,8.292,8.292,28.287,1,18740,NA
im07oj,2024-01-31T11:29:25Z,2024-01-31T11:34:08Z,IP Address,100,283,TRUE,2024-01-31T11:34:09Z,R_8OVKO3tR0FZoLjm,anonymous,EN,i,m,07,o,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as an entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,3.817,4.315,5.18,2,7,7,6,6.666666666666667,2.965,2.965,3.592,1,7,5,5,5.666666666666667,2.273,2.273,3.523,1,5,4,4,5,5,4,5,5,4,5,4.333333333333333,4.333333333333333,About once a month.,0,3,2,3,2.6666666666666665,2.559,2.559,3.242,1,6,6,7,6.333333333333333,3.796,3.796,4.245,1,Male,NA,20,Switzerland,1,Europe & Central Asia,0,NA,NA,NA,NA,5.372,5.372,23.456,1,75206,NA
in28mn,2024-01-31T11:29:50Z,2024-01-31T11:45:19Z,IP Address,100,929,TRUE,2024-01-31T11:45:20Z,R_61Sw40Nyl3M50Ix,anonymous,EN,i,n,28,m,n,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,8.052,0,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,23.231,38.261,47.576,2,2,6,6,4.666666666666667,10.467,10.467,11.933,1,7,6,6,6.333333333333333,4.958,4.958,7.643,1,3,7,7,7,7,3,6,7,6,5.666666666666667,7,5,About once each week.,0,3,1,2,2,7.9,7.9,9.332,1,6,7,7,6.666666666666667,5.456,6.324,7.411,2,Female,NA,21,China,95,China,0,NA,NA,NA,NA,12.38,12.38,85.511,1,83498,NA
jc03yd,2024-01-31T11:31:53Z,2024-01-31T11:43:36Z,IP Address,100,702,TRUE,2024-01-31T11:43:37Z,R_5NrhJGX6zkdCO3f,anonymous,EN,j,c,03,y,d,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,11.475,0,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,13.269,24.98,38.953,4,6,5,5,5.333333333333333,4.741,4.741,5.966,1,4,5,5,4.666666666666667,6.978,6.978,8.027,1,5,5,6,6,5,6,4,5,5,5.333333333333333,5.333333333333333,5,Once or more each day.,frequent generative AI user,2,1,2,1.6666666666666667,4.471,4.471,6.211,1,6,7,5,6,3.748,3.748,4.877,1,Female,NA,21,China,95,China,0,NA,NA,NA,NA,4.118,4.118,58.681,1,83748,NA
jc05yj,2024-03-08T14:33:10Z,2024-03-08T14:43:58Z,IP Address,100,647,TRUE,2024-03-08T14:43:58Z,R_1Xcf1CiJsV1w4Nz,anonymous,EN,j,c,05,y,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a business owner.,entrepreneurial experience – narrower,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,Computer Science / Data Science / Informatics.,A programme without a business component,1,15.129,25.174,27.468,4,6,6,6,6,1.853,1.853,3.373,1,6,6,6,6,5.092,5.092,6.204,1,6,6,6,6,4,6,6,6,4,6,5.333333333333333,5.333333333333333,Several times each week.,frequent generative AI user,2,1,2,1.6666666666666667,1.411,3.43,4.871,2,6,6,6,6,0.191,0.191,2.074,1,Female,NA,22,China,95,China,0,NA,NA,NA,NA,21.264,21.264,38.002,1,53287,NA
jc18ys,2024-01-31T11:30:03Z,2024-01-31T11:39:07Z,IP Address,100,544,TRUE,2024-01-31T11:39:08Z,R_3dygi4phwzrkRA8,anonymous,EN,j,c,18,y,s,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,15.743,0,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,Mathematics and Business.,Another programme with a business component,1,9.69,9.69,11.441,1,6,4,5,5,3.893,3.893,4.891,1,4,4,5,4.333333333333333,3.1,3.1,4.157,1,6,6,7,7,1,5,4,6,5,6.333333333333333,4.666666666666667,4.666666666666667,Once or more each day.,frequent generative AI user,3,2,1,2,3.496,3.496,4.985,1,5,7,4,5.333333333333333,3.814,4.862,5.849,2,Female,NA,20,China,95,China,0,NA,NA,NA,NA,0,0,8.212,0,40418,NA
jl06mm,2024-01-31T11:29:15Z,2024-01-31T11:35:40Z,IP Address,100,385,TRUE,2024-01-31T11:35:41Z,R_2n7yKrIOqkbwmHN,anonymous,EN,j,l,06,m,m,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,6.305,6.305,8.153,1,6,6,5,5.666666666666667,5.125,5.125,5.912,1,4,4,6,4.666666666666667,2.652,2.652,3.458,1,5,4,4,6,5,4,4,5,4,5.333333333333333,4.333333333333333,4,Several times each week.,frequent generative AI user,2,1,1,1.3333333333333333,2.172,2.172,3.39,1,6,6,6,6,2.447,2.447,3.14,1,Male,NA,20,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,0,0,1.554,0,73892,NA
jl10cf,2024-01-31T11:26:49Z,2024-01-31T11:36:37Z,IP Address,100,587,TRUE,2024-01-31T11:36:37Z,R_2gIz5p6wpjEpWCE,anonymous,EN,j,l,10,c,f,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,"Language and Business (for example, French and Business, German and Business).",Another programme with a business component,1,4.79,4.79,6.281,1,5,6,6,5.666666666666667,3.446,3.446,4.157,1,3,3,4,3.3333333333333335,4.475,4.475,5.32,1,6,5,3,4,2,5,5,4,2,4.666666666666667,3.3333333333333335,4,Once or more each day.,frequent generative AI user,3,1,1,1.6666666666666667,16.122,16.122,17.02,1,5,5,4,4.666666666666667,2.713,2.713,3.496,1,Male,NA,21,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,6.47,6.47,30.224,1,27263,NA
jl10mn,2024-01-31T11:27:55Z,2024-01-31T11:53:38Z,IP Address,100,1542,TRUE,2024-01-31T11:53:39Z,R_6FEROnTGtwlIUFF,anonymous,EN,j,l,10,m,n,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as business owner.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,2,6.596,6.596,7.252,1,4,6,4,4.666666666666667,3.001,4.042,4.054,2,3,2,2,2.3333333333333335,3.748,3.748,4.957,1,5,4,4,6,1,4,5,6,4,5.666666666666667,3,4.333333333333333,Several times each week.,frequent generative AI user,3,2,1,2,3.206,3.206,3.676,1,6,6,7,6.333333333333333,2.772,2.772,3.224,1,Male,NA,22,Peru,1,Latin America & Caribbean,0,NA,NA,NA,NA,6.19,6.19,118.634,1,59125,NA
jl24jn,2024-01-31T11:29:37Z,2024-01-31T11:38:58Z,IP Address,100,560,TRUE,2024-01-31T11:38:59Z,R_4dIPxYBvGQksXnz,anonymous,EN,j,l,24,j,n,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,0,0,12.935,0,I have experience as a self-employed person.,0,entrepreneurial experience –broader,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,0,6.986,6.986,8.375,1,3,4,4,3.6666666666666665,4.16,5.138,5.99,2,3,3,3,3,5.182,5.182,6.094,1,6,5,5,5,4,5,2,4,3,5,4.666666666666667,3.3333333333333335,About once each week.,0,3,2,2,2.3333333333333335,5.66,6.731,8.846,2,4,4,4,4,3.333,3.333,4.031,1,Female,NA,22,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,17.14,17.14,54.183,1,50499,NA
jn20nj,2024-01-31T11:29:26Z,2024-01-31T11:42:43Z,IP Address,100,797,TRUE,2024-01-31T11:42:44Z,R_73duFjELJplyhs1,anonymous,EN,j,n,20,n,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as a self-employed person.,0,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,12.512,12.512,14.202,1,6,6,4,5.333333333333333,4.51,7.944,8.647,2,5,5,6,5.333333333333333,4.785,4.785,5.606,1,5,6,6,4,5,7,4,6,4,5,5.666666666666667,5,Once or more each day.,frequent generative AI user,3,1,1,1.6666666666666667,5.044,5.044,6.362,1,4,7,5,5.333333333333333,5.703,5.703,6.459,1,Female,NA,20,China,95,China,0,NA,NA,NA,NA,12.231,12.231,53.233,1,59077,NA
jp27mn,2024-01-31T11:29:17Z,2024-01-31T11:35:50Z,IP Address,100,392,TRUE,2024-01-31T11:35:51Z,R_2PsRJcw1nB3IgEx,anonymous,EN,j,p,27,m,n,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,None of the above.,0,0,Law and Business / Psychology and Business / Economics and Management.,Another programme with a business component,0,1.92,4.296,5.524,6,6,7,7,6.666666666666667,1.996,1.996,3.055,1,6,7,7,6.666666666666667,1.785,1.785,2.636,1,7,1,2,7,2,4,4,4,2,6,1.6666666666666667,3.3333333333333335,Twice or three times a month.,0,2,1,1,1.3333333333333333,1.693,1.693,2.552,1,7,7,7,7,1.285,1.285,2.339,1,Male,NA,22,United Kingdom,59,United Kingdom,1,NA,NA,NA,NA,5.716,5.716,28.751,1,43667,NA
js03hj,2024-01-31T11:29:00Z,2024-01-31T11:39:16Z,IP Address,100,616,TRUE,2024-01-31T11:39:17Z,R_28TfDNnC5E6RuJH,anonymous,EN,j,s,03,h,j,"I confirm that I have read and understood the participant information for the study.,I have been given the opportunity to consider the information provided, ask questions and have had these questions answered to my satisfaction.,I understand that my participation is voluntary and that I can ask to withdraw at any time without giving a reason and without my rights being affected.",yes,NA,NA,NA,NA,None of the above.,0,0,At least one of my parents has experience as entrepreneur.,entrepreneurial experience – narrower,entrepreneurial experience – broader,A programme at the Business School.,Business programme at the business school,1,25.65,25.65,31.857,1,6,6,5,5.666666666666667,5.085,5.085,5.556,1,7,7,6,6.666666666666667,2.296,2.296,4.167,1,5,4,7,7,2,5,4,4,3,5.333333333333333,4.333333333333333,4,Several times each week.,frequent generative AI user,2,2,2,2,5.138,5.627,7.153,2,3,7,4,4.666666666666667,2.602,4.004,5.657,2,Female,NA,19,China,95,China,0,NA,NA,NA,NA,6.54,17.888,59.481,2,97909,NA
